empresa_id,tirante_id,poste_id,propiedad,cudn,apoyo,muerto,datum,zona,x,y,lat,long
18,1476071,760983,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,175617.893,5697727.563,-38.81214140,-72.73790640
18,1476083,714206,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172705.697,5701141.571,-38.78036640,-72.76975590
18,1476092,711094,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,169211.043,5700244.190,-38.78713150,-72.81032950
18,1476096,758593,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171481.534,5697105.362,-38.81620340,-72.78574050
18,1476098,655121,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,179774.434,5699655.528,-38.79632460,-72.68923790
18,1476102,712506,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,179292.865,5700948.365,-38.78452360,-72.69417080
18,1476106,658502,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171817.529,5696225.014,-38.82424440,-72.78229820
18,1476107,658540,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,182397.629,5700386.836,-38.79069710,-72.65875700
18,1476117,654927,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172949.597,5700825.008,-38.78330340,-72.76710400
18,1476123,654022,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,170234.845,5700525.401,-38.78498640,-72.79843350
18,1476127,657233,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171459.276,5696286.223,-38.82356050,-72.78638690
18,1476136,707090,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,177634.538,5699065.891,-38.80084690,-72.71410280
18,1476158,655108,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171863.847,5696809.355,-38.81900750,-72.78148750
18,1476168,709213,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172511.414,5696643.069,-38.82074370,-72.77412360
