empresa_id;conductor_id;tipo_conductor;cudn;detalle;cap_diseno;cap_termica;x_s0;x_s1;r_s0;r_s1;mat_conductor;tipo_proteccion;mat_aislante;separacion_fases;seccion_valor;seccion_unid
18;24573370;CableAéreoAluminioDesnudoMonof;CDACAL1A024000;COND DESN AER 15KV ALAMBR COBRE 3F 021 MM2;126;107.1;1.668;0.401;1.099;0.951;Aluminio;Desnudo;Desnudo;;24;mm2
18;24573689;CableAéreoAluminioDesnudoMonof;CDACAL1A024000;COND DESN AER 15KV CABLE. AAAC. 1F 024 MM2 ALTON;122;103.7;1.744;0.456;1.51;1.362;Aluminio;Desnudo;Desnudo;;24;mm2
18;186381006;CableAéreoAluminioDesnudoMonof;CDACAL1A024000;COND DESN AER 23KV ALAMBR COBRE 3F 021 MM2;;;1.668;0.401;1.099;0.951;Aluminio;Desnudo;Desnudo;;24;mm2
18;186385516;;CLA1PAL2M050000;Prot 50 mm2 2ø 25 KV;;;1.645;0.336;0.785;0.659;;XLPE;XLPE;;;mm2
18;186376620;CableAéreoAluminioDesnudoMonof;CDACAL1A024000;COND DESN AER 23KV CABLE. AAAC. 1F 024 MM2 ALTON;;;1.744;0.456;1.51;1.362;Aluminio;Desnudo;Desnudo;;24;mm2
18;24556489;CableAéreoAluminioDesnudoMonof;CDACAL1A033000;COND DESN AER 15KV CABLE. AAAC. 1F 033 MM2;122;103.7;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;;33;mm2
18;186376625;CableAéreoAluminioDesnudoMonof;CDACAL1A033000;COND DESN AER 23KV CABLE. AAAC. 1F 033 MM2;;;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;;33;mm2
18;24572998;CableAéreoAluminioDesnudoMonof;CDACAL1C024000;COND DESN AER 23KV CABLE. AAAC. 1F 024 MM2 ALTON;122;103.7;1.744;0.456;1.51;1.362;Aluminio;Desnudo;Desnudo;;24;mm2
18;24573774;CableAéreoAluminioDesnudoMonof;CDACAL1C033000;COND DESN AER 23KV CABLE. AAAC. 1F 033 MM2;122;103.7;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;;33;mm2
18;131929925;CableAéreoAluminioDesnudoMonof;CDACAL1C034000;CAl 2 AAAC 1ø;;;;;;;Aluminio;Desnudo;Desnudo;;34;mm2
18;24737771;CableAéreoAluminioDesnudoMonof;CDACAL1C034000;CAl 2 AAAC 1ø;;;;;;;Aluminio;Desnudo;Desnudo;;34;mm2
18;24557243;CableAéreoAluminioDesnudoMonof;CDACAL1C034000;Al 2 AAAC 1ø;122;103.7;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;;34;mm2
18;186383637;CableAéreoAluminioDesnudoMonof;CDACAL1C107000;COND DESN AER 23KV CABLE. AAAC. 1F 107 MM2;;;;;;;Aluminio;Desnudo;Desnudo;;107;mm2
18;186376636;CableAéreoAluminioDesnudoBifás;CDACAL2A024000;COND DESN AER 23KV CABLE. AAAC. 2F 024 MM2 ALTON;;;1.744;0.456;1.51;1.362;Aluminio;Desnudo;Desnudo;2023 mm;24;mm2
18;186376415;CableAéreoAluminioDesnudoBifás;CDACAL2A024000;COND DESN AER 15KV CABLE. AAAC. 2F 024 MM2 ALTON;;;1.744;0.456;1.51;1.362;Aluminio;Desnudo;Desnudo;2023 mm;24;mm2
18;24565155;CableAéreoAluminioDesnudoBifás;CDACAL2A025000;Al 25mm2 2ø;103;87.55;1.661;0.393;6.904;1.291;Aluminio;Desnudo;Desnudo;2023 mm;25;mm2
18;186376416;CableAéreoAluminioDesnudoBifás;CDACAL2A033000;COND DESN AER 15KV CABLE. AAAC. 2F 024 MM2 ALTON;;;1.744;0.456;1.51;1.362;Aluminio;Desnudo;Desnudo;2023 mm;33;mm2
18;24559792;CableAéreoAluminioDesnudoTrifá;CDACAL3A035000;Al 35mm2 3ø;127;107.95;1.65;0.383;5.848;0.922;Aluminio;Desnudo;Desnudo;1011 mm;35;mm2
18;186376698;CableAéreoAluminioDesnudoBifás;CDACAL2A033000;COND DESN AER 23KV CABLE. AAAC. 2F 033 MM2;;;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;2023 mm;33;mm2
