empresa_id,nodo_id,tipo_soporte,poste_camara_id,rotulo_poste_camara,alimentador_id,nom_comuna,nom_region,densidad_red,tension,datum,zona,y,x,lat,long
18,38274012,poste,2016377,500114,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5702480.560,188975.016,-72.58223080,-38.77421180
18,38274099,poste,657599,228056,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5697424.763,195396.093,-72.51068820,-38.82192630
18,38274734,poste,661736,226641,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5697043.774,188387.273,-72.59143960,-38.82290060
18,38274752,poste,705863,495260,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5697888.317,189690.135,-72.57608050,-38.81576510
18,38274888,poste,1997341,495453,675,Temuco,La Araucanía,,15.000,PSAD56,19,5705059.120,186823.043,-72.60578560,-38.75026020
18,38274904,poste,709231,227872,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5695637.465,192533.707,-72.54439570,-38.83700650
18,38275258,poste,725044,157010,675,Temuco,La Araucanía,,0.220,PSAD56,19,5705575.701,187281.741,-72.60028390,-38.74577680
18,38276064,poste,1716849710,495248,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5697909.468,189188.830,-72.58183380,-38.81539810
18,38276211,poste,8132322,798462,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5703094.871,188643.355,-72.58576430,-38.76856990
18,38276776,poste,2121183,458793,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5702502.314,186232.778,-72.61372560,-38.77304500
18,38277059,poste,1716193456,PCTCO_X02,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5704898.143,188261.892,-72.58933300,-38.75221720
18,38277225,poste,759009,165034,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5701174.387,184887.971,-72.62978120,-38.78450810
18,38277520,poste,24805,242566,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5704680.046,187918.979,-72.59337000,-38.75405750
18,38277894,poste,9009930,906662,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5702485.738,188906.609,-72.58301440,-38.77414110
18,38277994,poste,24798,15001,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5703826.523,187955.394,-72.59333710,-38.76174660
18,38278463,poste,9758607,1026106,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5698095.349,190921.081,-72.56183690,-38.81433590
18,38278904,poste,1997342,495454,675,Temuco,La Araucanía,,15.000,PSAD56,19,5705099.564,186830.977,-72.60567610,-38.74989930
18,38279336,poste,59460,224661,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5696219.294,191284.458,-72.55850040,-38.83133630
