empresa_id,equipo_id,tipo_equipo,marca,tipo_control,tipo_prot,num_operaciones,curva,pick_up,t_dial,adder,descripcion
18,1716688315,fusibles,S&C,,T,,10T,10.000,,,
18,1716999291,fusibles,S&C,,T,,1T,1.000,,,
18,1717015399,fusibles,S&C,,T,,1T,1.000,,,
18,1717131002,fusibles,S&C,,T,,10T,10.000,,,
18,1717131013,fusibles,S&C,,T,,1T,1.000,,,
18,1717217971,fusibles,S&C,,T,,2T,2.000,,,
18,1717218007,fusibles,S&C,,T,,2T,2.000,,,
18,1717221376,fusibles,S&C,,T,,1T,1.000,,,
18,1717255396,fusibles,S&C,,T,,3T,3.000,,,
18,1717256679,fusibles,S&C,,T,,25T,25.000,,,
18,1717291660,fusibles,S&C,,T,,10T,10.000,,,
18,1717291708,fusibles,S&C,,T,,10T,10.000,,,
18,1717300142,fusibles,S&C,,T,,2T,2.000,,,
18,1717344679,fusibles,S&C,,T,,10T,10.000,,,
