empresa_id,toma_tierra_id,elemento_id,tipo_elemento,propiedad,nodo_id,cudn,tipo_toma_tierra,tipo_electrodo,otros,datum,zona,x,y,lat,long
18,2247958,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186871.411,5703145.839,-38.76748440,-72.60609700
18,2247959,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186775.028,5703103.623,-38.76782990,-72.60722330
18,2247968,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186708.935,5703124.991,-38.76761430,-72.60797290
18,2247985,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187369.132,5702936.117,-38.76954710,-72.60047430
18,2247999,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186816.251,5703205.892,-38.76692480,-72.60670340
18,2248550,2248554,transformador_dx,Inst. de distribució,39496438,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186900.206,5694968.506,-38.84103680,-72.60947930
18,2248604,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186587.677,5701912.660,-38.77847420,-72.60991600
18,2248618,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186649.364,5701949.982,-38.77816050,-72.60919030
18,2248698,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187183.995,5694912.362,-38.84164260,-72.60624150
18,2248704,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186992.162,5695137.714,-38.83954780,-72.60834500
18,2276774,2276771,transformador_dx,Inst. de distribució,37669558,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187223.305,5702219.542,-38.77593990,-72.60247400
18,2276779,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187220.221,5702175.308,-38.77633660,-72.60252950
18,2276832,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187194.542,5702361.020,-38.77465730,-72.60274040
