empresa_id,equipo_id,nom_equipo,propiedad,cudn,tipo_equipo,alimentador_id,nodo_id,tramo_id,estado,tipo_inst,fases_id,ubicación_prot,tension_nom,cap_diseno,Coci_ikss,Coci_iasym,Coci_Ipeak,Coci_Ik,telecomandado,tipo_operacion,datum,zona,x,y,long,lat
18,2124686,DF 8kAR 3F¸ Placa 255270,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,40150780,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,185780.208,5696062.333,-72.62185920,-38.83080060
18,2131746,DF 8kAR 3F¸ Placa 493335,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,40651244,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187229.582,5702382.489,-72.60232810,-38.77447670
18,2132098,DF 8kAR 3F¸ Placa 493327,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,39116032,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187040.857,5702338.712,-72.60451620,-38.77480340
18,2161319,DF 8kAR 2ø ubicado en soporte placa 166064,Inst. de distribució,QC2AA10S01A0010,Desconectadores Fusibles,678,38490737,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,185621.787,5696550.604,-72.62345780,-38.82635290
18,2161423,DF 8kAR 2F¸ Placa 225058,Inst. de prop. terce,QC2AA10S01A0010,Desconectadores Fusibles,678,38611755,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,185685.607,5695941.660,-72.62300200,-38.83185210
18,2188043,DF 8kAR 3F¸ Placa 460482,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,39651809,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,185477.916,5699642.429,-72.62370100,-38.79849600
18,2196809,DF 8kAR 3ø ubicado en soporte placa 491175,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,39076398,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186526.684,5701699.762,-72.61071350,-38.78036720
18,2200771,DF 8kAR 3F¸ Placa 14708,Inst. de prop. terce,QA3AA10W01A0010,Desconectadores Fusibles,678,39151280,,Normalment,Aéreo,RST,,,10.000,,,,,,No Aplica,PSAD56,19,186762.932,5702414.307,-72.60767490,-38.77402490
18,2200923,DF 8kAR 3F¸ Placa 572170,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,37966943,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186734.072,5702231.790,-72.60808930,-38.77565610
18,2200973,DF 8kAR 3F¸ Placa 492444,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,40317407,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186254.268,5701245.712,-72.61404980,-38.78435380
18,2201219,DF 8kAR 3ø ubicado en soporte placa 165979,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,40238820,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,185643.683,5699956.325,-72.62165290,-38.79573220
18,2201239,DF 8kAR 3F¸ Placa 460481,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,39136939,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,185519.352,5699729.928,-72.62318490,-38.79772390
18,2201420,DF 8kAR 2ø ubicado en soporte placa 166046,Inst. de prop. terce,QC2AA10S01A0010,Desconectadores Fusibles,678,38611336,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,185594.861,5697511.976,-72.62332860,-38.81769750
18,2201460,DF 8kAR 3F¸ Placa 490881,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,38114002,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186210.277,5701157.995,-72.61459510,-38.78512700
18,2209827,DF 8kAR 3ø ubicado en soporte placa 166013,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,39564334,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,185363.799,5698420.501,-72.62557000,-38.80944440
18,2220158,DF 8kAR 3F¸ Placa 14755,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,40107947,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186915.027,5703065.497,-72.60563230,-38.76822250
18,2236640,DF 8kAR 3F¸ Placa 254800,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,37810507,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187141.813,5703372.673,-72.60288800,-38.76554030
18,2247738,DF 8kAR 2F¸ Placa 571922,Inst. de distribució,QC2AA10S01A0010,Desconectadores Fusibles,678,39130525,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,188179.380,5694301.480,-72.59507170,-38.84748980
18,4903823,DF 8kAR 3ø ubicado en soporte placa 212350,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,25788064,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186690.284,5702038.294,-72.60868010,-38.77738080
18,5282196,DF 8kAR 3F¸ Placa 651076,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,37878643,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187591.517,5702955.410,-72.59791080,-38.76945230
18,5314523,ECM 2039,Inst. de distribució,QA3AA30N01N0000,Desconectadores Fusibles,678,38731418,,Normalment,Aéreo,RST,,,0.000,,,,,,No Aplica,PSAD56,19,186754.675,5702332.689,-72.60780680,-38.77475600
18,5642041,DF 8kAR 3F¸ Placa 636525,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,39973248,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186469.333,5701691.443,-72.61137620,-38.78042160
18,5642043,DF 8kAR 3F¸ Placa 699437,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,38257336,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186486.496,5701731.859,-72.61116060,-38.78006430
18,5685474,DF 8kAR 2ø ubicado en soporte placa 636939,Inst. de distribució,QC2AA10W01A0100,Desconectadores Fusibles,678,38801704,,Normalment,Aéreo,RS,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186802.773,5696194.854,-72.61004190,-38.82997320
18,5920294,DF 8kAR 2F¸ Placa 694431,Inst. de distribució,QC2AA10W01A0100,Desconectadores Fusibles,678,39912926,,Normalment,Aéreo,RS,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,183094.706,5697054.551,-72.65227870,-38.82091510
18,5970751,67824,Inst. de distribució,QC3AB1BW01A0300,Desconectadores cuchillo,678,37842816,,Normalment,Aéreo,RST,,,300.000,,,,,,Motorizado,PSAD56,19,185632.553,5696754.372,-72.62324100,-38.82452420
18,6401643,DF 8kAR 3F¸ Placa 267176,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,39614384,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,184918.694,5695812.358,-72.63187880,-38.83274070
18,6970577,SC 900A 3F¸ Placa  14707,Inst. de distribució,QC3AB1BW01A0900,Desconectadores cuchillo,678,39677345,,Normalment,Aéreo,RST,,,900.000,,,,,,Motorizado,PSAD56,19,186762.785,5702452.380,-72.60765930,-38.77368250
18,8071682,DF 8kAR 3ø ubicado en soporte placa 794249,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,37814058,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186713.109,5702092.604,-72.60839330,-38.77690050
18,8187216,DF 8kAR 3ø ubicado en soporte placa 806916,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,38590755,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,185299.546,5698671.806,-72.62619380,-38.80716140
18,8753947,DF 8kAR 3F¸ Placa 1000307185,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,38657256,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186780.538,5702089.693,-72.60761990,-38.77695060
18,9193424,RF 8kAR 2F¸ Placa  165563,Inst. de distribució,QC2AA10W01A0100,Desconectadores Fusibles,678,39429334,,Normalment,Aéreo,RS,,,100.000,,,,,,No Aplica,PSAD56,19,184284.779,5697635.890,-72.63833160,-38.81611450
18,9193425,RF 8kAR 2ø ubicado en soporte placa 165667,Inst. de distribució,QC2AA10W01A0100,Desconectadores Fusibles,678,37855788,,Normalment,Aéreo,RS,,,100.000,,,,,,No Aplica,PSAD56,19,182955.424,5697074.353,-72.65387070,-38.82068690
18,9406248,DF 8kAR 2F¸ Placa 937210,Inst. de prop. terce,QC2AA10S01A0001,Desconectadores Fusibles,678,,,Normalment,Aéreo,RS,,,1.000,5.300,8.000,,,,No Aplica,PSAD56,19,186199.963,5701139.345,-72.61472210,-38.78529110
18,9457092,DF 8kAR 3ø ubicado en soporte placa 460476,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,39757540,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,185668.269,5700045.632,-72.62132970,-38.79493780
18,9463788,SC 300A 3F¸ Placa  585930,Inst. de distribució,QC3AB1BW01A0300,Desconectadores cuchillo,678,38428851,,Normalment,Aéreo,RST,,,300.000,,,,,,Motorizado,PSAD56,19,185574.077,5696626.914,-72.62397150,-38.82564960
18,9502094,SC 300A 3F¸ Placa  165664,Inst. de distribució,QC3AB1BW01A0300,Desconectadores cuchillo,678,39602460,,Normalment,Aéreo,RST,,,300.000,,,,,,Motorizado,PSAD56,19,183018.393,5697189.676,-72.65309380,-38.81967240
18,9502095,SC 300A 3F¸ Placa  165602,Inst. de distribució,QC3AB1BW01A0300,Desconectadores cuchillo,678,38192946,,Normalment,Aéreo,RST,,,300.000,,,,,,Motorizado,PSAD56,19,182457.386,5698669.801,-72.65886080,-38.80615980
18,9502098,SC 300A 3F¸ Placa  670126,Inst. de distribució,QC3AB1BW01A0300,Desconectadores cuchillo,678,37926836,,Normalment,Aéreo,RST,,,300.000,,,,,,Motorizado,PSAD56,19,183108.168,5697023.616,-72.65213820,-38.82119810
18,9542066,SC 900A 3F¸ Placa  492439,Inst. de distribució,QC3AB1BW01A0900,Desconectadores cuchillo,678,160672843,,Normalment,Aéreo,RST,,,900.000,,,,,,Motorizado,PSAD56,19,186085.973,5700910.042,-72.61613620,-38.78731270
18,9572867,DF 8kAR 3F¸ Placa 818777,Inst. de prop. terce,QC3AA10W01A0100,Desconectadores Fusibles,678,37719526,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186444.516,5701638.420,-72.61168540,-38.78088970
