empresa_id,estructura_id,propiedad,elemento_id,tipo_elemento,cudn,clase_tension,detalle cudn,datum,zona,x,y,lat,long
18,9574189,Inst. de distribució,9574154,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,188459.347,5702629.006,-38.77269470,-72.58808830
18,2051102,Inst. de distribució,24698,equipo,EA6BA01A00ENNA3,BT,,PSAD56,19,187453.208,5698057.550,-38.81345230,-72.60171830
18,6757620,Inst. de distribució,1716849576,equipo,ER4BA04A00BNNC2,BT,,PSAD56,19,188487.599,5701442.684,-38.78337410,-72.58829900
18,641920,Inst. de prop. terce,641915,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,186759.597,5702475.718,-38.77347150,-72.60768540
18,8134237,Inst. de distribució,1716827255,equipo,IHA3A3,Clas,,PSAD56,19,187596.519,5703433.704,-38.76515250,-72.59763700
18,148697,Inst. de distribució,1716849402,equipo,EA2AF00C02BHBB2,Clas,,PSAD56,19,187630.911,5699724.572,-38.79852290,-72.59892040
18,9548035,Inst. de distribució,8929456,equipo,ICB1AN,BT,,PSAD56,19,188647.510,5699618.054,-38.79984060,-72.58728490
18,1081530,Inst. de distribució,9474499,equipo,ICB1AN,BT,,PSAD56,19,188922.350,5699291.059,-38.80287860,-72.58427370
18,923669,Inst. de distribució,9144482,equipo,ER6BA04A00BNNB2,BT,,PSAD56,19,187705.080,5703061.576,-38.76853770,-72.59655820
18,6176605,Inst. de distribució,6176352,equipo,IFB3BN,BT,,PSAD56,19,188096.043,5702111.632,-38.77721940,-72.59249590
18,2256755,Inst. de prop. terce,2256514,equipo,H3AAF06L00H,Clas,,PSAD56,19,187690.945,5703303.194,-38.76635970,-72.59661130
18,2256550,Inst. de prop. terce,2256514,equipo,EP3AF00C03BHBA1,Clas,,PSAD56,19,187690.945,5703303.194,-38.76635970,-72.59661130
18,5721251,Inst. de distribució,5718403,equipo,EP3AF06C04BHBC1,Clas,,PSAD56,19,188396.019,5702372.611,-38.77497830,-72.58893160
18,1716742804,Inst. de distribució,1716742774,equipo,EA2AF00C02BHBB2,Clas,,PSAD56,19,188485.446,5700689.232,-38.79014960,-72.58866380
18,2008945,Inst. de distribució,105229,equipo,IGB32N,BT,,PSAD56,19,187489.572,5701677.023,-38.78091340,-72.59966050
18,5257152,Inst. de distribució,5256834,equipo,IFB3BN,BT,,PSAD56,19,188176.807,5702369.398,-38.77492970,-72.59145150
18,1037802,Inst. de distribució,44809,equipo,IFB2AN,BT,,PSAD56,19,188008.122,5702693.996,-38.77195080,-72.59324290
18,8682405,Inst. de distribució,6760313,equipo,ER6BA02A00ENND3,BT,,PSAD56,19,186680.695,5703569.699,-38.76360480,-72.60809560
18,170033,Inst. de distribució,9051251,equipo,EA3AF00C03BHBB2,Clas,,PSAD56,19,187660.956,5703346.618,-38.76595850,-72.59693620
18,9505951,Inst. de distribució,78896,nodo,IFB3CN,BT,,PSAD56,19,187924.008,5703080.166,-38.76844800,-72.59403470
18,1717177233,Inst. de distribució,1717177220,nodo,IFB1BN,BT,,PSAD56,19,188911.393,5701278.177,-38.78500320,-72.58350360
18,916106,Inst. de distribució,721535,nodo,IFB1AN,BT,,PSAD56,19,188172.475,5702771.611,-38.77131090,-72.59131970
18,6173462,Inst. de distribució,6173342,nodo,ICB1AN,BT,,PSAD56,19,187843.893,5702094.436,-38.77728490,-72.59540060
18,6173473,Inst. de distribució,2154235,nodo,ICB1AN,BT,,PSAD56,19,187828.069,5702148.257,-38.77679520,-72.59555810
18,6173488,Inst. de distribució,2153915,nodo,ICB1AN,BT,,PSAD56,19,187954.682,5702186.688,-38.77649440,-72.59408610
18,6173495,Inst. de distribució,2154029,nodo,ICB1AN,BT,,PSAD56,19,188005.873,5702197.607,-38.77641430,-72.59349300
18,6176480,Inst. de distribució,6176402,nodo,ICB1AN,BT,,PSAD56,19,188042.263,5702081.886,-38.77746790,-72.59312720
18,6176840,Inst. de distribució,6176363,nodo,ICB1AN,BT,,PSAD56,19,188101.128,5702033.258,-38.77792610,-72.59247280
