empresa_id,cudn,caracter_item_ini,caracter_item_fin,desc_item,valor_opcion,desc_opcion
18,BAAC02352,2,2,TENSIÓN,A,AT
18,BAAC02352,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC02352,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC02352,5,9,Volumen,02352,En dm3
18,BAAC02560,1,1,ítem,B,CÁMARAS
18,BAAC02560,2,2,TENSIÓN,A,AT
18,BAAC02560,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC02560,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC02560,5,9,Volumen,02560,En dm3
18,BAAC02744,1,1,ítem,B,CÁMARAS
18,BAAC02744,2,2,TENSIÓN,A,AT
18,BAAC02744,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC02744,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC02744,5,9,Volumen,02744,En dm3
18,BAAC03375,1,1,ítem,B,CÁMARAS
18,BAAC03375,2,2,TENSIÓN,A,AT
18,BAAC03375,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC03375,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC03375,5,9,Volumen,03375,En dm3
18,BAAC03528,1,1,ítem,B,CÁMARAS
18,BAAC03528,2,2,TENSIÓN,A,AT
18,BAAC03528,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC03528,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC03528,5,9,Volumen,03528,En dm3
18,BAAC03920,1,1,ítem,B,CÁMARAS
18,BAAC03920,2,2,TENSIÓN,A,AT
18,BAAC03920,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC03920,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC03920,5,9,Volumen,03920,En dm3
18,BAAC04096,1,1,ítem,B,CÁMARAS
18,BAAC04096,2,2,TENSIÓN,A,AT
18,BAAC04096,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC04096,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC04096,5,9,Volumen,04096,En dm3
18,BAAC04140,1,1,ítem,B,CÁMARAS
18,BAAC04140,2,2,TENSIÓN,A,AT
18,BAAC04140,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC04140,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC04140,5,9,Volumen,04140,En dm3
18,BAAC04608,1,1,ítem,B,CÁMARAS
18,BAAC04608,2,2,TENSIÓN,A,AT
18,BAAC04608,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC04608,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC04608,5,9,Volumen,04608,En dm3
18,BAAC05040,1,1,ítem,B,CÁMARAS
18,BAAC05040,2,2,TENSIÓN,A,AT
