empresa_id,cudn,descripcion
18,BAAJ07168,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 716 dm3
18,BAAJ07480,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 748 dm3
18,BAAJ07500,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 750 dm3
18,BAAJ11500,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 1.150 dm3
18,BAAV00000,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 0 dm3
18,BAAV00080,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 8 dm3
18,BAAV00103,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 10 dm3
18,BAAV00111,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 11 dm3
18,BAAV00160,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 16 dm3
18,BAAV00200,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 20 dm3
18,BAAV00205,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 20 dm3
18,BAAV00213,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 21 dm3
18,BAAV00216,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 21 dm3
18,BAAV00288,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 28 dm3
18,BAAV00320,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 32 dm3
18,BAAV00360,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 36 dm3
18,BAAV00402,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 40 dm3
18,BAAV00448,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 44 dm3
18,BAAV00462,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 46 dm3
18,BAAV00500,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 50 dm3
18,BAAV00512,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 51 dm3
18,BAAV00768,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 76 dm3
18,BAAV00832,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 83 dm3
18,BAAV00896,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 89 dm3
18,BAAV01000,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 100 dm3
18,BAAV01100,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 110 dm3
18,BAAV01152,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 115 dm3
18,BAAV01200,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 120 dm3
18,BAAV01250,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 125 dm3
18,BAAV01264,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 126 dm3
18,BAAV01300,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 130 dm3
18,BAAV01320,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 132 dm3
18,BAAV01331,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 133 dm3
18,BAAV01344,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 134 dm3
18,BAAV01400,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 140 dm3
18,BAAV01440,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 144 dm3
18,BAAV01500,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 150 dm3
18,BAAV01584,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 158 dm3
18,BAAV01600,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 160 dm3
18,BAAV01690,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 169 dm3
18,BAAV01728,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 172 dm3
18,BAAV01778,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 177 dm3
18,BAAV01800,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 180 dm3
18,BAAV01848,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 184 dm3
18,BAAV01859,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 185 dm3
18,BAAV01872,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 187 dm3
18,BAAV01920,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 192 dm3
18,BAAV01950,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 195 dm3
18,BAAV01960,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 196 dm3
18,BAAV02000,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 200 dm3
18,BAAV02016,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 201 dm3
18,BAAV02040,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 204 dm3
18,BAAV02080,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 208 dm3
18,BAAV02100,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 210 dm3
18,BAAV02156,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 215 dm3
18,BAAV02160,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 216 dm3
18,BAAV02184,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 218 dm3
18,BAAV02197,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 219 dm3
18,BAAV02200,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 220 dm3
